id,name,categ_id/id,type,uom_id/id,uom_po_id/id,invoice_policy
init.0bf43c68-051a-4b0a-8d2b-9fe7c41151c9,Intracath #14,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.7273399a-f5bb-43b2-865a-ba37d344c387,Intracath #18,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.1a21a922-6490-45a3-9009-23ed648322d5,Intracath #20,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.110ca2a5-fdf8-4e33-8890-a0fc07466561,Intracath #22,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.14e22438-9a0b-4d18-8f4c-884c59650aa7,Intracath #24,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.06c7fe82-a32f-4619-9123-ae1b8ee1b379,Gadyen Dlo,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.480f230f-7a22-45fc-bf44-aedaae8ca238,Nactalia 1,product.categ_products_materials_orders,product,init.d8e77a4d-0224-413e-adac-0ecf66eb50ce,init.d8e77a4d-0224-413e-adac-0ecf66eb50ce,Ordered quantities
init.6a2e5b14-62cd-4923-8d50-31e6fe19a048,Nactalia 2,product.categ_products_materials_orders,product,init.d8e77a4d-0224-413e-adac-0ecf66eb50ce,init.d8e77a4d-0224-413e-adac-0ecf66eb50ce,Ordered quantities
init.cbeaff88-989a-44e7-b42a-a33b1ea4b2c8,Bandage (petit),product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.ecb1ba6f-f519-43ef-844b-1e9dc1243e5f,Bandage (gros),product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.c1644b15-f3f9-4f75-b38c-287679f00a32,Condoms,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.d017233d-47a7-430d-a84f-ca95ee2271e0,Certificat medical,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.f57ac723-342c-4b72-a994-1d485faad41f,Sonographie,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
init.89fe40e2-ac22-4294-84ee-04fbb0e9d886,Suture - Vicryl 2,product.categ_products_materials_orders,product,init.ffe07e7c-0452-4e59-b326-9d2853b56417,init.ffe07e7c-0452-4e59-b326-9d2853b56417,Ordered quantities
