Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1500
ec8abf17-af58-4967-9fd2-1ec52fe52f13,,,Number of contacts identified,Nombre de contacts identifiés,Number of contacts identified,Nombre de contacts identifiés,,,Misc,Numeric,,,,,,,,,,,
5dd62578-720b-443b-b702-08bb732b3baa,,,Number of contacts with symptoms,Nombre de contacts SR,Number of contacts with symptoms,Nombre de contacts SR,,,Misc,Numeric,,,,,,,,,,,
643bc713-7469-4c48-96ee-651308951ece,,,Contact with positive TB case,Cas contact,Contact with positive TB case,Cas contact,,,Misc,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
8c1700fa-5c45-41c8-bbba-1933c41380d2,,,Number of contact with positive TB cases,Nombre de cas contacts,Number of contact with positive TB cases,Nombre de cas contacts,,,Misc,Numeric,,,,,,,,,,,
5c98f2b0-e479-45ff-9355-5130910bdc6e,,,Index case reference number,Numéro de référence du cas index,Index case reference number,Numéro de référence du cas index,,,Misc,Text,,,,,,,,,,,
2f30ab02-661f-4ccc-b278-0f696a42e735,,,Visible,Visible,Visible,Visible,,,Misc,N/A,,,,,,,,,,,
336ada3c-a715-4280-b584-3e744988b13d,,,Invisible,Invisible,Invisible,Invisible,,,Misc,N/A,,,,,,,,,,,
3ba6ee81-2aa3-44d5-8ecd-e2e8389574f1,,,Unsure,Douteux,Unsure,Douteux,,,Misc,N/A,,,,,,,,,,,
a4891235-c7fb-4fff-aca0-1e0829fe04ab,,,BCG scar,Cicatrice BCG,BCG scar,Cicatrice BCG,,"La cicatrice BCG est-elle visible, invisible ou est-ce douteux?",Misc,Coded,,Visible;Invisible;Douteux,,,,,,,,,
81a4e5a1-826a-4012-bad7-20fa3496ccc4,,,Pulmonary,Pulmonaire,Pulmonary,Pulmonaire,,,Misc,N/A,,,,,,,,,,,
0b12c5c7-a106-499c-af47-b193d359c6df,,,Extra pulmonary,Extra pulmonaire,Extra pulmonary,Extra pulmonaire,,,Misc,N/A,,,,,,,,,,,
48049976-cb0a-42b4-8c52-fc0e733f38c5,,,Anatomical site,Site anatomique,Anatomical site,Site anatomique,,,Misc,Coded,,Pulmonaire;Extra pulmonaire,,,,,,,,,
b37cdac4-5bc2-4780-83d1-9920cfbd8471,,,Extra pulmonary Details,Extra pulmonaire details,Extra pulmonary Details,Extra pulmonaire details,,,Misc,Text,,,,,,,,,,,
0b597a8a-ac2c-4ba6-b5ca-8306deb7c970,,,Classification of TB,Classification de la tuberculose,Classification of TB,Classification de la tuberculose,,,ConvSet,N/A,,,Site anatomique;Extra pulmonaire details,,,,,,,,
ceac8760-eaae-4792-85bc-b4d8b226e6c3,,,Relapse,Rechute,Relapse,Rechute,,,Misc,N/A,,,,,,,,,,,
fb53cdbd-4271-41b8-879f-3c363550d136,,,Treatment after loss of follow-up,Traitement après interruption du suivi (perdu de vue),Treatment after loss of follow-up,Traitement après interruption du suivi (perdu de vue),,,Misc,N/A,,,,,,,,,,,
59720c3c-c505-4808-bf34-bbdfe3b07032,,,Treatment after failure,Traitement après échec,Treatment after failure,Traitement après échec,,,Misc,N/A,,,,,,,,,,,
69c70b8c-78d9-4c26-b205-eda83ad073ed,,,Other already treated,Autre déjà traité,Other already treated,Autre déjà traité,,,Misc,N/A,,,,,,,,,,,
aa5802b7-7b0c-478e-b3c6-97378b6cc2ba,,,No known history of TB treatment,Sans antécédent connu de traitement TB,No known history of TB treatment,Sans antécédent connu de traitement TB,,,Misc,N/A,,,,,,,,,,,
71ca6b8a-0e9a-41c5-9c31-c4aa8d074e0b,,,Treatment history,Antécédent de traitement,Treatment history,Antécédent de traitement,,,Misc,Coded,,Nouveau;Rechute;Traitement après interruption du suivi (perdu de vue);Traitement après échec;Autre déjà traité;Sans antécédent connu de traitement TB,,,,,,,,,
8c96ac84-2ded-4ad8-a4e8-b6d20b8a00a0,,,Evening fever,Fièvre vespérale,Evening fever,Fièvre vespérale,,,Misc,N/A,,,,,,,,,,,
831b9d10-e388-4a82-85fe-7f3943cd425c,,,Emanciation,Amaigrissement,Emanciation,Amaigrissement,,,Misc,N/A,,,,,,,,,,,
e904d309-fb5c-452c-b9b1-8daf9a3eff15,,,Loss of appetite,Perte d'appétit,Loss of appetite,Perte d'appétit,,,Misc,N/A,,,,,,,,,,,
7708b5a2-db98-450b-8edb-775abfabba4d,,,TB Signs and symptoms,Signes et symptômes TB,TB Signs and symptoms,Signes et symptômes TB,,,Misc,Coded,,Toux (R05);Hemoptysie (R04.2);Douleur thoracique (R07.4);Fièvre vespérale;Amaigrissement;Perte de poids (R63.4) ;Perte d'appétit;Lymphadenopathie (R59.9),,,,,,,,,
9b44a644-760f-45bc-8b23-220a374703ae,,,HIV Tested,Testé pour VIH,HIV Tested,Testé pour VIH,,,Misc,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
315806d8-ca66-4b02-abf7-caa3aee564a3,,,HIV Test Date,Date test VIH,HIV Test Date,Date test VIH,,,Misc,Date,,,,,,,,,,,
7ec8062b-be80-4bf9-a9e4-4e77a8f174e1,,,HIV test result,Résultat test VIH,HIV test result,Résultat test VIH,,,Misc,Coded,,Positif;Négatif;Indéterminé,,,,,,,,,
